order,name,y,x,a
1,原住民文化會館,22.995853,120.1614463,0
2,赤崁樓,22.9940858,120.1953749,0
3,南紡夢時代,22.9910193,120.2310251,0
4,藍晒圖,22.987102,120.1951567,0
5,國華街,22.9923764,120.1964467,0
6,孔廟,22.9903577,120.2029014,0
7,台南生活美學館,22.9917342,120.1860694,0
8,五妃街,22.9826606,120.2030162,0
9,台南延平郡王祠,22.9866969,120.2064884,0
10,神農街,22.9975666,120.1943575,0
11,巴克禮公園,22.9710051,120.2214609,0
12,吳園,22.9947315,120.2039129,0
13,林百貨,22.9892751,120.2018758,0
14,台南司法博物館,22.989673,120.1988599,0
15,台南知事官邸,22.9903557,120.205882,0
16,新美街,22.9970284,120.1998575,0
17,丹丹漢堡,22.9968904,120.1850895,0
18,321巷藝術聚落,23.004342,120.2067833,0
19,花園夜市,23.0060837,120.2015945,0
20,奇美博物館,22.943147,120.2261909,0
